Title,Score,EpisodeCount,Studio,Source,Aired,Members,Favorites,Popularity,Rank
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.\anohana: The Flower We Saw That Day,8.34,11, A-1 Pictures, Original, Spring 2011,1435735,31128,56,201
Bakemonogatari,8.34,15, Shaft, Light novel, Summer 2009,1261263,45547,79,202
K-On! Movie\K-ON! The Movie,8.34,1, Kyoto Animation, 4-koma manga,TBD,289113,2386,654,203
Major S6,8.34,25, SynergySP, Manga, Spring 2010,57051,447,2441,204
Katanagatari,8.33,12, White Fox, Light novel, Winter 2010,509527,10273,346,205
Kemono no Souja Erin\Erin,8.33,50," Production I.G, Trans Arts", Novel, Winter 2009,77594,1431,2016,206
Mobile Suit Gundam: The Origin,8.33,6, Sunrise, Manga,TBD,61764,732,2317,207
Ookami to Koushinryou II\Spice and Wolf II,8.33,12,"Studios: Brains Base, Marvy Jack", Light novel, Summer 2009,445057,4062,400,208
Romeo no Aoi Sora\Romeo and the Black Brothers,8.33,33, Nippon Animation, Novel, Winter 1995,43536,566,2794,209
Sakamichi no Apollon\Kids on the Slope,8.33,12," Tezuka Productions, MAPPA", Manga, Spring 2012,338159,6415,543,210
"Natsume Yuujinchou\Natsumes Book of Friends""",8.32,13,Studios: Brains Base, Manga, Summer 2008,475636,14186,370,211
Natsume Yuujinchou Go Specials,8.32,2, Shuka, Manga,TBD,39171,51,2980,212
NHK ni Youkoso!\Welcome to the N.H.K.,8.32,24, Gonzo, Novel, Summer 2006,637060,23043,243,213
Tenki no Ko\Weathering With You,8.32,1, CoMix Wave Films, Original,TBD,769583,10194,173,214
"Violet Evergarden: Kitto ""Ai"" wo Shiru Hi ga Kuru no Darou",8.32,1, Kyoto Animation, Light novel,TBD,265515,694,720,215
World Trigger 3rd Season,8.32,14, Toei Animation, Manga, Fall 2021,75322,786,2044,216
Boku dake ga Inai Machi\ERASED,8.32,12, A-1 Pictures, Manga, Winter 2016,1787807,42601,30,217
Evangelion: 2.0 You Can (Not) Advance,8.32,1, Khara, Original,TBD,458039,3099,384,218
Fate/stay night: Unlimited Blade Works 2nd Season\Fate/stay night [Unlimited Blade Works] Season 2,8.32,13, ufotable, Visual novel, Spring 2015,752057,8525,184,219
Kawaki wo Ameku\Crying for Rain,8.32,1," None found, add some", Music,TBD,23994,183,3827,220
Doukyuusei (Movie)\Doukyusei -Classmates-,8.31,1, A-1 Pictures, Manga,TBD,223879,5218,852,221
Hotarubi no Mori e,8.31,1,Studios: Brains Base, Manga,TBD,717685,9325,207,222
Hunter x Hunter: Original Video Animation,8.31,8, Nippon Animation, Manga,TBD,114677,362,1525,223
"Kuroko no Basket 3rd Season\Kurokos Basketball 3""",8.31,25, Production I.G, Manga, Winter 2015,651359,4669,237,224
Major: World Series,8.31,2, SynergySP, Manga,TBD,33366,94,3261,225
Shelter (Music)\Shelter,8.31,1, A-1 Pictures, Music,TBD,303580,2364,615,226
Shinsekai yori\From the New World,8.31,25, A-1 Pictures, Novel, Fall 2012,706420,20985,216,227
