Title,Score,EpisodeCount,Studio,Source,Aired,Members,Favorites,Popularity,Rank
Arashi no Yoru ni,7.66,1, Group TAC, Book,TBD,21285,183,4035,1181
Bokura wa Minna Kawai-sou: Hajimete no,7.66,1,Studios: Brains Base, Manga,TBD,45284,39,2740,1182
"Bounen no Xamdou\Xamd: Lost Memories""",7.66,26, Bones, Original,TBD,129180,1027,1402,1183
Bungou Stray Dogs: Hitori Ayumu\Bungo Stray Dogs 2 Episode 25 - Walking Alone,7.66,1, Bones, Manga,TBD,138342,289,1337,1184
D4DJ: First Mix\D4DJ First Mix,7.66,13, SANZIGEN, Mixed media, Fall 2020,27081,360,3620,1185
Fairy Tail (2014)\Fairy Tail Series 2,7.66,102," A-1 Pictures, Bridge", Manga, Spring 2014,866337,11150,146,1186
Hai to Gensou no Grimgar\Grimgar: Ashes and Illusions,7.66,12, A-1 Pictures, Light novel, Winter 2016,639867,5389,241,1187
Inuyashiki\Inuyashiki: Last Hero,7.66,11, MAPPA, Manga, Fall 2017,549707,3289,315,1188
Junjou Romantica 3\Junjo Romantica 3,7.66,12, Studio Deen, Manga, Summer 2015,109963,477,1581,1189
Kindaichi Shounen no Jikenbo Returns 2nd Season,7.66,22, Toei Animation, Manga, Fall 2015,9945,22,5493,1190
